,gospel_mark,gospel_other,greek_biographies,greek_histeriographies,greek_novels,greek_tragedies,jewish_texts
0,"('det noun', 1137, 0.027603787327021123)","('det noun', 7550, 0.029042706241681475)","('det noun', 35038, 0.01997337870923793)","('det noun', 21918, 0.01554689711086474)","('det noun', 13376, 0.01872405949256343)","('noun punct', 25778, 0.026495715953755324)","('det noun', 5347, 0.02362615269732278)"
1,"('punct punct', 706, 0.01714008254430687)","('punct punct', 4232, 0.01627930235957563)","('noun verb', 25529, 0.014552782266914067)","('verb punct', 18348, 0.013014621233239631)","('verb punct', 13275, 0.01858267716535433)","('verb punct', 17405, 0.01788959330340257)","('verb punct', 3326, 0.014696200462183574)"
2,"('verb pron', 588, 0.014275309541150765)","('noun punct', 3057, 0.011759410990837122)","('verb det', 18746, 0.010686139542307616)","('noun verb', 14389, 0.010206419496680023)","('noun punct', 9378, 0.01312755905511811)","('punct noun', 15850, 0.016291298699162925)","('noun punct', 3311, 0.01462992174693019)"
3,"('cconj verb', 533, 0.01294003398883224)","('verb punct', 2838, 0.010916980174025434)","('verb punct', 15740, 0.00897257208982833)","('adv verb', 13281, 0.009420491857349878)","('punct verb', 8417, 0.011782327209098862)","('punct verb', 11615, 0.011938387027809298)","('punct verb', 3047, 0.013463416358470641)"
4,"('verb punct', 511, 0.012405923767904831)","('verb pron', 2826, 0.010870819581323424)","('adv verb', 15491, 0.008830629875700805)","('noun punct', 11345, 0.008047246451444497)","('noun verb', 8251, 0.011549956255468067)","('punct adv', 9529, 0.009794308221092967)","('punct cconj', 2743, 0.0121201677293354)"
5,"('punct cconj', 458, 0.011119203690216071)","('adv verb', 2498, 0.009609096714135143)","('verb verb', 14917, 0.008503421719438957)","('adp det', 11312, 0.008023838859298383)","('adv verb', 6103, 0.008543132108486439)","('adj punct', 9276, 0.009534264147219893)","('pron punct', 2604, 0.01150598496798738)"
6,"('adv verb', 455, 0.011046370478271426)","('adp det', 2353, 0.009051322885652519)","('adj verb', 14317, 0.008161392287806365)","('adj verb', 10901, 0.007732307938933139)","('punct det', 5605, 0.00784601924759405)","('adv verb', 9091, 0.00934411334221389)","('noun pron', 2335, 0.010317386674443369)"
7,"('noun punct', 444, 0.010779315367807721)","('pron punct', 2341, 0.009005162292950508)","('adp det', 13608, 0.007757227509427186)","('punct verb', 10754, 0.007628037755736811)","('verb det', 5305, 0.007426071741032371)","('punct adj', 8457, 0.008692461394247373)","('cconj verb', 2121, 0.009371810336828431)"
8,"('pron punct', 427, 0.010366593833454722)","('punct verb', 2340, 0.009001315576892007)","('verb adv', 12826, 0.007311449150199375)","('adv adv', 10695, 0.007586187818263455)","('punct adv', 5205, 0.007286089238845144)","('verb noun', 8069, 0.008293658624829378)","('adp det', 1736, 0.007670656645324921)"
9,"('adp det', 363, 0.008812818645302258)","('noun verb', 2319, 0.00892053453966349)","('det adj', 11982, 0.006830327749702862)","('det adj', 10658, 0.007559942942220841)","('verb verb', 4942, 0.006917935258092738)","('noun verb', 8064, 0.00828851941388327)","('det noun pron', 1689, 0.007462983337530985)"
